***	**** Program	HYDRUS									
***	****										
Wel	come to HYDR	US-1D									
Dat	e:  25. 9.	Time:  16	: 0:13								
Uni	ts: L = mm	", T = min"	", M = mmo"		l						
											
											
Tim	e:       10.	0									
											
											
Nod	e      Depth	Head	Moisture	Ths	K	C	Flux	Sink	Kapp	a   v/KsTop	Temp
	[L]	[L]	[-]		[L/T]	[1/L]	[L/T]	[1/T]	[-]	[-]	[C]
											
68	-670	-1395.988	0.4817		9.16E-04	6.16E-05	2.29E-03	0.00E+00	-1	9.96E-03	20
69	-680	-1361.417	0.4839		9.74E-04	6.33E-05	2.35E-03	0.00E+00	-1	1.02E-02	20
70	-690	-1327.738	0.486		1.03E-03	6.49E-05	2.40E-03	0.00E+00	-1	1.04E-02	20
71	-700	-1294.908	0.488		1.09E-03	6.65E-05	2.43E-03	0.00E+00	-1	1.06E-02	20
72	-710	-1262.928	0.4901		1.14E-03	6.80E-05	2.46E-03	0.00E+00	-1	1.07E-02	20
73	-720	-1231.744	0.492		1.19E-03	6.95E-05	2.48E-03	0.00E+00	-1	1.08E-02	20
74	-730	-1201.356	0.494		1.25E-03	7.11E-05	2.53E-03	0.00E+00	-1	1.10E-02	20
75	-740	-1171.713	0.4963		1.36E-03	7.32E-05	2.61E-03	0.00E+00	-1	1.14E-02	20
76	-750	-1142.824	0.4986		1.46E-03	7.53E-05	-2.49E-05	0.00E+00	-1	-1.08E-04	20
77	-760	-1151.582	0.4979		1.43E-03	7.47E-05	-2.69E-03	0.00E+00	-1	-1.17E-02	20
78	-770	-1160.413	0.4972		1.40E-03	7.40E-05	-2.64E-03	0.00E+00	-1	-1.15E-02	20
79	-780	-1169.312	0.4965		1.37E-03	7.34E-05	-2.59E-03	0.00E+00	-1	-1.13E-02	20
80	-790	-1178.28	0.4958		1.34E-03	7.27E-05	-2.54E-03	0.00E+00	-1	-1.10E-02	20
81	-800	-1187.318	0.4951		1.30E-03	7.21E-05	-2.48E-03	0.00E+00	-1	-1.08E-02	20
82	-810	-1196.424	0.4944		1.27E-03	7.14E-05	-2.43E-03	0.00E+00	-1	-1.06E-02	20
83	-820	-1205.602	0.4936		1.24E-03	7.08E-05	-2.39E-03	0.00E+00	-1	-1.04E-02	20
84	-830	-1214.85	0.4931		1.22E-03	7.03E-05	-2.36E-03	0.00E+00	-1	-1.03E-02	20
85	-840	-1224.171	0.4925		1.21E-03	6.99E-05	-2.34E-03	0.00E+00	-1	-1.02E-02	20
86	-850	-1233.565	0.4919		1.19E-03	6.94E-05	-2.31E-03	0.00E+00	-1	-1.01E-02	20
87	-860	-1243.031	0.4913		1.18E-03	6.90E-05	-2.29E-03	0.00E+00	-1	-9.96E-03	20
88	-870	-1252.572	0.4907		1.16E-03	6.85E-05	-2.27E-03	0.00E+00	-1	-9.86E-03	20
