 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 8.    Time:  14: 3: 1
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 11)                      Node( 31)                      Node( 51)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         30.3972    -6088.32  0.4171 -0.250E+00      -4580.80  0.3972 -0.251E-04      -1883.50  0.4635  0.101E-01      -1085.29  0.5089 -0.857E-02      -1485.98  0.4827 -0.122E-02
         30.5164    -5613.84  0.4230 -0.250E+00      -4580.85  0.3972 -0.245E-04      -1883.22  0.4635  0.101E-01      -1085.27  0.5089 -0.856E-02      -1486.09  0.4827 -0.122E-02
         30.6715    -4968.39  0.4307 -0.250E+00      -4580.91  0.3972 -0.237E-04      -1882.85  0.4635  0.101E-01      -1085.25  0.5089 -0.856E-02      -1486.23  0.4827 -0.122E-02
         30.8730    -4343.78  0.4407 -0.250E+00      -4580.99  0.3972 -0.227E-04      -1882.38  0.4635  0.101E-01      -1085.22  0.5089 -0.855E-02      -1486.41  0.4827 -0.122E-02
         31.1350    -3615.39  0.4536 -0.250E+00      -4581.10  0.3972 -0.214E-04      -1881.76  0.4636  0.101E-01      -1085.19  0.5089 -0.854E-02      -1486.64  0.4827 -0.122E-02
         31.4756    -2887.12  0.4701 -0.250E+00      -4581.24  0.3972 -0.197E-04      -1880.97  0.4636  0.101E-01      -1085.15  0.5089 -0.853E-02      -1486.94  0.4826 -0.122E-02
         31.9184    -2209.41  0.4908 -0.250E+00      -4581.43  0.3972 -0.173E-04      -1879.93  0.4637  0.101E-01      -1085.10  0.5089 -0.851E-02      -1487.33  0.4826 -0.122E-02
         32.3612    -1735.38  0.5102 -0.250E+00      -4581.63  0.3972 -0.149E-04      -1878.91  0.4637  0.101E-01      -1085.05  0.5089 -0.849E-02      -1487.71  0.4826 -0.121E-02
         32.8039    -1402.29  0.5277 -0.250E+00      -4581.83  0.3972 -0.125E-04      -1877.88  0.4638  0.101E-01      -1085.01  0.5089 -0.848E-02      -1488.08  0.4826 -0.121E-02
         33.2467    -1166.63  0.5430 -0.250E+00      -4582.04  0.3972 -0.100E-04      -1876.86  0.4638  0.101E-01      -1084.98  0.5089 -0.846E-02      -1488.46  0.4826 -0.121E-02
         33.6895    -1012.74  0.5560 -0.250E+00      -4582.27  0.3972 -0.751E-05      -1875.84  0.4639  0.101E-01      -1084.95  0.5089 -0.844E-02      -1488.82  0.4825 -0.121E-02
