 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 8.    Time:   1: 4:18
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  77  -760.0000   -1937.272 0.4612   0.6270E-03  0.4125E-04  0.6956E-03  0.0000E+00      -1   0.116E-02   20.00
  78  -770.0000   -1916.308 0.4619   0.6398E-03  0.4167E-04  0.6968E-03  0.0000E+00      -1   0.116E-02   20.00
  79  -780.0000   -1895.596 0.4629   0.6655E-03  0.4229E-04  0.7043E-03  0.0000E+00      -1   0.117E-02   20.00
  80  -790.0000   -1875.133 0.4639   0.6908E-03  0.4291E-04  0.7141E-03  0.0000E+00      -1   0.119E-02   20.00
  81  -800.0000   -1854.915 0.4648   0.7159E-03  0.4352E-04  0.7226E-03  0.0000E+00      -1   0.120E-02   20.00
  82  -810.0000   -1834.937 0.4658   0.7406E-03  0.4413E-04  0.7299E-03  0.0000E+00      -1   0.122E-02   20.00
  83  -820.0000   -1815.199 0.4667   0.7650E-03  0.4473E-04  0.7359E-03  0.0000E+00      -1   0.123E-02   20.00
  84  -830.0000   -1795.693 0.4676   0.7892E-03  0.4532E-04  0.7409E-03  0.0000E+00      -1   0.123E-02   20.00
  85  -840.0000   -1776.418 0.4685   0.8131E-03  0.4590E-04  0.7446E-03  0.0000E+00      -1   0.124E-02   20.00
  86  -850.0000   -1757.372 0.4694   0.8367E-03  0.4648E-04  0.7473E-03  0.0000E+00      -1   0.125E-02   20.00
  87  -860.0000   -1738.549 0.4703   0.8600E-03  0.4705E-04  0.7491E-03  0.0000E+00      -1   0.125E-02   20.00
  88  -870.0000   -1719.946 0.4712   0.8830E-03  0.4761E-04  0.7498E-03  0.0000E+00      -1   0.125E-02   20.00
  89  -880.0000   -1701.562 0.4721   0.9058E-03  0.4816E-04  0.7495E-03  0.0000E+00      -1   0.125E-02   20.00
  90  -890.0000   -1683.392 0.4729   0.9283E-03  0.4871E-04  0.7484E-03  0.0000E+00      -1   0.125E-02   20.00
  91  -900.0000   -1665.433 0.4738   0.9505E-03  0.4926E-04  0.7464E-03  0.0000E+00      -1   0.124E-02   20.00
  92  -910.0000   -1647.683 0.4746   0.9725E-03  0.4979E-04  0.7436E-03  0.0000E+00      -1   0.124E-02   20.00
  93  -920.0000   -1630.138 0.4754   0.9942E-03  0.5033E-04  0.7399E-03  0.0000E+00      -1   0.123E-02   20.00
  94  -930.0000   -1612.796 0.4763   0.1016E-02  0.5085E-04  0.7355E-03  0.0000E+00      -1   0.123E-02   20.00
  95  -940.0000   -1595.653 0.4771   0.1037E-02  0.5137E-04  0.7303E-03  0.0000E+00      -1   0.122E-02   20.00
  96  -950.0000   -1578.706 0.4779   0.1058E-02  0.5188E-04  0.7245E-03  0.0000E+00      -1   0.121E-02   20.00
  97  -960.0000   -1561.954 0.4787   0.1079E-02  0.5239E-04  0.7179E-03  0.0000E+00      -1   0.120E-02   20.00
  98  -970.0000   -1545.393 0.4794   0.1099E-02  0.5289E-04  0.7107E-03  0.0000E+00      -1   0.118E-02   20.00
