 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  25. 9.    Time:  14: 9:46
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  75  -740.0000   -1844.620 0.4653   0.7286E-03  0.4384E-04 -0.3720E-02  0.0000E+00      -1  -0.759E-03   20.00
  76  -750.0000   -1886.229 0.4634   0.6771E-03  0.4258E-04 -0.1473E-02  0.0000E+00      -1  -0.301E-03   20.00
  77  -760.0000   -1866.345 0.4643   0.7017E-03  0.4318E-04  0.6853E-03  0.0000E+00      -1   0.140E-03   20.00
  78  -770.0000   -1846.692 0.4652   0.7260E-03  0.4377E-04  0.6923E-03  0.0000E+00      -1   0.141E-03   20.00
  79  -780.0000   -1827.269 0.4661   0.7501E-03  0.4436E-04  0.6982E-03  0.0000E+00      -1   0.142E-03   20.00
  80  -790.0000   -1808.070 0.4671   0.7739E-03  0.4494E-04  0.7030E-03  0.0000E+00      -1   0.143E-03   20.00
  81  -800.0000   -1789.094 0.4679   0.7974E-03  0.4552E-04  0.7068E-03  0.0000E+00      -1   0.144E-03   20.00
  82  -810.0000   -1770.338 0.4688   0.8206E-03  0.4608E-04  0.7095E-03  0.0000E+00      -1   0.145E-03   20.00
  83  -820.0000   -1751.797 0.4697   0.8436E-03  0.4664E-04  0.7113E-03  0.0000E+00      -1   0.145E-03   20.00
  84  -830.0000   -1733.469 0.4706   0.8663E-03  0.4720E-04  0.7121E-03  0.0000E+00      -1   0.145E-03   20.00
  85  -840.0000   -1715.352 0.4714   0.8887E-03  0.4775E-04  0.7121E-03  0.0000E+00      -1   0.145E-03   20.00
  86  -850.0000   -1697.441 0.4723   0.9109E-03  0.4829E-04  0.7112E-03  0.0000E+00      -1   0.145E-03   20.00
  87  -860.0000   -1679.733 0.4731   0.9328E-03  0.4883E-04  0.7094E-03  0.0000E+00      -1   0.145E-03   20.00
  88  -870.0000   -1662.228 0.4739   0.9545E-03  0.4935E-04  0.7068E-03  0.0000E+00      -1   0.144E-03   20.00
  89  -880.0000   -1644.921 0.4748   0.9759E-03  0.4988E-04  0.7034E-03  0.0000E+00      -1   0.144E-03   20.00
  90  -890.0000   -1627.809 0.4756   0.9971E-03  0.5040E-04  0.6994E-03  0.0000E+00      -1   0.143E-03   20.00
  91  -900.0000   -1610.890 0.4764   0.1018E-02  0.5091E-04  0.6946E-03  0.0000E+00      -1   0.142E-03   20.00
  92  -910.0000   -1594.161 0.4771   0.1039E-02  0.5141E-04  0.6891E-03  0.0000E+00      -1   0.141E-03   20.00
  93  -920.0000   -1577.620 0.4779   0.1059E-02  0.5192E-04  0.6830E-03  0.0000E+00      -1   0.139E-03   20.00
  94  -930.0000   -1561.263 0.4787   0.1080E-02  0.5241E-04  0.6762E-03  0.0000E+00      -1   0.138E-03   20.00
  95  -940.0000   -1545.090 0.4795   0.1100E-02  0.5290E-04  0.6688E-03  0.0000E+00      -1   0.136E-03   20.00
  96  -950.0000   -1529.096 0.4802   0.1119E-02  0.5338E-04  0.6623E-03  0.0000E+00      -1   0.135E-03   20.00
  97  -960.0000   -1513.279 0.4811   0.1149E-02  0.5397E-04  0.6598E-03  0.0000E+00      -1   0.135E-03   20.00
  98  -970.0000   -1497.637 0.4820   0.1191E-02  0.5470E-04  0.6613E-03  0.0000E+00      -1   0.135E-03   20.00
  99  -980.0000   -1482.167 0.4829   0.1232E-02  0.5543E-04  0.6633E-03  0.0000E+00      -1   0.135E-03   20.00
 100  -990.0000   -1466.868 0.4839   0.1273E-02  0.5614E-04  0.6640E-03  0.0000E+00      -1   0.136E-03   20.00
 101 -1000.0000   -1451.736 0.4848   0.1314E-02  0.5685E-04  0.6640E-03  0.0000E+00      -1   0.136E-03   20.00
end


 Time:       10.0010


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

