Date,Site,Location,Point,Type,Soil Water Content (g),Gravimetric Water Content (g/g),Dry Bulk Density (g/cm^3),Volumetric Water Content,Porosity (%),,,Averages: ,MAT,n,PAS,n
7/17/16,PAS,Middle,C,depth,47.2,0.495278069,0.915465898,0.453410183,65.45411706,,,,,,,
7/17/16,PAS,Middle,D,depth,32.2,0.501557632,0.616714697,0.309317964,76.72774728,,,,,,,
7/17/16,PAS,Lower,A,depth,55.4,0.605464481,0.878962536,0.532180596,66.83160242,,,,,,,
7/17/16,PAS,Lower,B,depth,47,0.537142857,0.840537944,0.451488953,68.28158702,,,,,,,
7/17/16,PAS,Lower,C,depth,41.4,0.554959786,0.716618636,0.397694525,72.95778732,,,,,,,
7/17/16,PAS,Lower,D,depth,42.2,0.541025641,0.749279539,0.405379443,71.72530042,,,,,,,
7/19/16,MAT,Upper,A,spatial ,40,0.598802395,0.641690682,0.384245917,75.78525728,,,,,,,
7/19/16,MAT,Upper,B,spatial ,47.7,0.657931035,0.696445725,0.458213257,73.71902925,,,,,,,
7/19/16,MAT,Upper,C,spatial ,25.6,0.729344729,0.337175793,0.245917387,87.27638517,,,,,,,
7/19/16,MAT,Upper,D,spatial ,42.3,0.786245353,0.516810759,0.406340058,80.49770721,,,,,,,
7/19/16,MAT,Middle,A,spatial ,44.6,0.629055007,0.681075889,0.428434198,74.29902306,,,,,,,
7/19/16,MAT,Middle,B,spatial ,48.2,0.729198185,0.634966379,0.463016331,76.03900457,,,,,,,
7/19/16,MAT,Middle,C,spatial ,44.9,0.566919192,0.760806916,0.431316042,71.29030506,,,,,,,
7/19/16,MAT,Middle,D,spatial ,48.6,0.665753425,0.701248799,0.46685879,73.53778117,,,,,,,
7/19/16,MAT,Lower,A,spatial ,44.5,0.72593801,0.588856868,0.427473583,77.77898611,,,,,,,
7/19/16,MAT,Lower,B,spatial ,36.4,0.633043478,0.552353506,0.349663785,79.15647147,,,,,,,
7/19/16,MAT,Lower,C,spatial ,35.6,0.704950495,0.485110471,0.341978867,81.69394449,,,,,,,
7/19/16,MAT,Lower,D,spatial ,37.3,0.752016129,0.476464938,0.358309318,82.02019102,,,,,,,
7/21/16,PAS,Upper,A,spatial ,44.5,0.561160151,0.761767531,0.427473583,71.25405543,,,,,,,
7/21/16,PAS,Upper,B,spatial ,41.9,0.520496894,0.773294909,0.402497599,70.81906004,,,,,,,
7/21/16,PAS,Upper,C,spatial ,36.2,0.514204546,0.676272815,0.347742555,74.48027113,,,,,,,
7/21/16,PAS,Upper,D,spatial ,41.9,0.529709229,0.759846302,0.402497599,71.32655464,,,,,,,
7/21/16,PAS,Middle,A,spatial ,45.8,0.528258362,0.832853026,0.439961575,68.57158392,,,,,,,
7/21/16,PAS,Middle,B,spatial ,46.6,0.532571429,0.840537944,0.447646494,68.28158702,,,,,,,
7/21/16,PAS,Middle,C,spatial ,48.4,0.563445867,0.825168108,0.46493756,68.86158083,,,,,,,
7/21/16,PAS,Middle,D,spatial ,47.6,0.596491228,0.766570605,0.457252642,71.07280736,,,,,,,
7/21/16,PAS,Lower,A,spatial ,53.3,0.625586855,0.818443804,0.512007685,69.11532815,,,,,,,
7/21/16,PAS,Lower,B,spatial ,49.1,0.605425401,0.779058598,0.471661864,70.60156234,,,,,,,
7/21/16,PAS,Lower,C,spatial ,52.2,0.597254005,0.83957733,0.501440922,68.3178366,,,,,,,
7/21/16,PAS,Lower,D,spatial ,52.7,0.617096019,0.820365034,0.506243996,69.04282891,,,,,,,
7/24/16,MAT,Upper,A,spatial ,41.4,0.632061069,0.62920269,0.397694525,76.25650226,,,,,,,
7/24/16,MAT,Upper,B,spatial ,33.5,0.582608696,0.552353506,0.321805956,79.15647147,,,,,,,
7/24/16,MAT,Upper,C,spatial ,35.7,0.59798995,0.573487032,0.342939481,78.35897992,,,,,,,
7/24/16,MAT,Upper,D,spatial ,41.1,0.637209302,0.619596542,0.39481268,76.61899842,,,,,,,
7/24/16,MAT,Middle,A,spatial ,47.4,0.609254499,0.747358309,0.455331412,71.79779966,,,,,,,
7/24/16,MAT,Middle,B,spatial ,27.8,0.557114229,0.479346782,0.267050913,81.91144219,,,,,,,
7/24/16,MAT,Middle,C,spatial ,38.4,0.54084507,0.682036503,0.368876081,74.26277347,,,,,,,
7/24/16,MAT,Middle,D,spatial ,31.4,0.574040219,0.525456292,0.301633045,80.17146068,,,,,,,
7/24/16,MAT,Lower,A,spatial ,41.4,0.623493976,0.637848223,0.397694525,75.93025574,,,,,,,
7/24/16,MAT,Lower,B,spatial ,48.9,0.652870494,0.71950048,0.469740634,72.84903849,,,,,,,
7/24/16,MAT,Lower,C,spatial ,48.1,0.574671446,0.804034582,0.462055716,69.65907238,,,,,,,
7/24/16,MAT,Lower,D,spatial ,46.8,0.570731707,0.787704131,0.449567723,70.27531581,,,,,,,
