"Plot Title: El Guabo 03-04-15"
"#","Date Time, GMT+00:00","Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
195,07/10/15 03:55:00 AM,193.00,,,,
196,07/10/15 03:55:15 AM,194.00,,,,
197,07/10/15 03:55:25 AM,195.00,,,,
198,07/10/15 03:55:45 AM,196.00,,,,
199,07/10/15 03:56:00 AM,197.00,,,,
200,07/10/15 03:56:26 AM,198.00,,,,
201,07/10/15 03:56:40 AM,199.00,,,,
202,07/10/15 03:57:01 AM,200.00,,,,
203,07/10/15 03:57:13 AM,201.00,,,,
204,07/10/15 03:57:35 AM,202.00,,,,
205,07/10/15 03:57:49 AM,203.00,,,,
206,07/10/15 03:58:32 AM,204.00,,,,
207,07/10/15 03:58:57 AM,205.00,,,,
208,07/10/15 03:59:34 AM,206.00,,,,
209,07/10/15 03:59:55 AM,207.00,,,,
210,07/10/15 04:00:58 AM,208.00,,,,
211,07/10/15 04:02:02 AM,209.00,,,,
212,07/10/15 06:40:53 PM,210.00,,,,
213,07/10/15 06:55:42 PM,211.00,,,,
214,07/10/15 07:17:27 PM,212.00,,,,
215,07/10/15 07:24:07 PM,213.00,,,,
216,07/10/15 09:00:40 PM,214.00,,,,
217,07/10/15 09:09:26 PM,215.00,,,,
218,07/10/15 09:25:11 PM,216.00,,,,
219,07/10/15 09:27:40 PM,217.00,,,,
220,07/10/15 09:28:26 PM,218.00,,,,
221,07/10/15 09:28:46 PM,219.00,,,,
222,07/10/15 09:29:15 PM,220.00,,,,
223,07/10/15 09:29:27 PM,221.00,,,,
224,07/10/15 09:29:51 PM,222.00,,,,
225,07/10/15 09:30:01 PM,223.00,,,,
226,07/10/15 09:30:20 PM,224.00,,,,
227,07/10/15 09:30:32 PM,225.00,,,,
228,07/10/15 09:30:52 PM,226.00,,,,
229,07/10/15 09:31:01 PM,227.00,,,,
230,07/10/15 09:31:21 PM,228.00,,,,
231,07/10/15 09:31:32 PM,229.00,,,,
232,07/10/15 09:32:03 PM,230.00,,,,
233,07/10/15 09:32:52 PM,231.00,,,,
234,07/10/15 09:39:37 PM,232.00,,,,
235,07/10/15 09:43:32 PM,233.00,,,,
236,07/10/15 10:09:41 PM,234.00,,,,
237,07/11/15 11:31:08 AM,235.00,,,,
238,07/11/15 08:41:58 PM,236.00,,,,
239,07/11/15 08:51:15 PM,237.00,,,,
240,07/11/15 09:33:35 PM,238.00,,,,
241,07/11/15 09:58:34 PM,239.00,,,,
242,07/11/15 10:01:03 PM,240.00,,,,
243,07/11/15 10:01:57 PM,241.00,,,,
244,07/11/15 10:03:34 PM,242.00,,,,
245,07/11/15 10:04:32 PM,243.00,,,,
246,07/11/15 10:06:58 PM,244.00,,,,
247,07/11/15 10:08:28 PM,245.00,,,,
248,07/11/15 10:12:32 PM,246.00,,,,
249,07/11/15 10:16:10 PM,247.00,,,,
250,07/11/15 10:35:04 PM,248.00,,,,
251,07/12/15 01:05:26 AM,249.00,,,,
252,07/12/15 03:34:47 AM,250.00,,,,
253,07/12/15 03:38:11 AM,251.00,,,,
254,07/12/15 03:41:28 AM,252.00,,,,
255,07/12/15 03:42:22 AM,253.00,,,,
256,07/12/15 04:06:32 AM,254.00,,,,
257,07/12/15 05:01:18 AM,255.00,,,,
258,07/12/15 07:34:14 AM,256.00,,,,
259,07/12/15 07:46:18 AM,257.00,,,,
260,07/12/15 11:24:42 PM,258.00,,,,
261,07/12/15 11:25:42 PM,259.00,,,,
262,07/13/15 02:17:24 PM,260.00,,,,
263,07/13/15 02:22:18 PM,261.00,,,,
264,07/13/15 03:13:21 PM,262.00,,,,
265,07/13/15 03:15:31 PM,263.00,,,,
266,07/13/15 03:22:16 PM,264.00,,,,
267,07/13/15 03:24:46 PM,265.00,,,,
268,07/13/15 03:26:31 PM,266.00,,,,
269,07/13/15 03:27:17 PM,267.00,,,,
270,07/13/15 03:28:17 PM,268.00,,,,
271,07/13/15 03:28:47 PM,269.00,,,,
272,07/13/15 03:29:24 PM,270.00,,,,
273,07/13/15 03:29:46 PM,271.00,,,,
274,07/13/15 03:30:24 PM,272.00,,,,
275,07/13/15 03:30:51 PM,273.00,,,,
276,07/13/15 03:31:45 PM,274.00,,,,
277,07/13/15 03:32:32 PM,275.00,,,,
278,07/13/15 03:34:00 PM,276.00,,,,
279,07/13/15 03:34:54 PM,277.00,,,,
280,07/13/15 03:37:17 PM,278.00,,,,
281,07/13/15 03:39:05 PM,279.00,,,,
282,07/13/15 03:44:07 PM,280.00,,,,
283,07/13/15 03:48:23 PM,281.00,,,,
284,07/13/15 05:42:20 PM,282.00,,,,
285,07/13/15 05:54:25 PM,283.00,,,,
286,07/14/15 06:38:02 AM,284.00,,,,
287,07/14/15 10:03:55 AM,285.00,,,,
288,07/15/15 02:06:59 AM,286.00,,,,
289,07/15/15 02:10:37 AM,287.00,,,,
290,07/15/15 12:44:20 PM,288.00,,,,
291,07/15/15 06:28:18 PM,289.00,,,,
292,07/16/15 05:33:32 PM,290.00,,,,
293,07/16/15 05:33:44 PM,291.00,,,,
294,07/16/15 05:33:59 PM,,,Logged,,
295,07/16/15 05:34:06 PM,291.00,,,Logged,Logged
